Well,X,Y,NTG
201-901,201,901,0.3136097938931408
201-902,201,902,0.27637556844180244
201-903,201,903,0.3686705275157714
201-904,201,904,0.2635580274814595
201-905,201,905,0.29598364441028646
201-906,201,906,0.20600093290288546
201-908,201,908,0.2298620281659421
201-909,201,909,0.21724267985416212
201-910,201,910,0.2804848352817768
201-911,201,911,0.32292080549294
201-912,201,912,0.3080076209535296
201-913,201,913,0.3414458615239214
201-915,201,915,0.34410467547049023
201-916,201,916,0.34154116727842165
201-917,201,917,0.3456046580839313
201-918,201,918,0.3978658320396243
201-919,201,919,0.36852682193267966
201-920,201,920,0.3798920331568316
201-921,201,921,0.34280239086714986
201-922,201,922,0.3593579751417829
201-923,201,923,0.40066002347838087
201-925,201,925,0.41584937810185446
201-926,201,926,0.37141848516581155
201-927,201,927,0.38748183687884963
201-928,201,928,0.3935120918908639
201-929,201,929,0.30947518016875153
201-930,201,930,0.30802393345249807
202-901,202,901,0.3136097938931408
202-902,202,902,0.27637556844180244
202-903,202,903,0.3686705275157714
202-904,202,904,0.2635580274814595
202-905,202,905,0.29598364441028646
202-906,202,906,0.20600093290288546
202-907,202,907,0.20732943735955528
202-908,202,908,0.2298620281659421
202-909,202,909,0.21724267985416212
202-910,202,910,0.2804848352817768
202-911,202,911,0.32292080549294
202-912,202,912,0.3080076209535296
202-913,202,913,0.3414458615239214
202-914,202,914,0.32906477759839203
202-915,202,915,0.34410467547049023
202-916,202,916,0.34154116727842165
202-917,202,917,0.3456046580839313
202-918,202,918,0.3978658320396243
202-919,202,919,0.36852682193267966
202-920,202,920,0.3798920331568316
202-921,202,921,0.34280239086714986
202-923,202,923,0.40066002347838087
202-924,202,924,0.36429221397704464
202-926,202,926,0.37141848516581155
202-927,202,927,0.38748183687884963
202-928,202,928,0.32611036640879093
202-929,202,929,0.30947518016875153
202-930,202,930,0.30802393345249807
203-901,203,901,0.3136097938931408
203-903,203,903,0.3686705275157714
203-904,203,904,0.2635580274814595
203-905,203,905,0.29598364441028646
203-907,203,907,0.20732943735955528
203-908,203,908,0.2298620281659421
203-909,203,909,0.21724267985416212
203-910,203,910,0.2804848352817768
203-911,203,911,0.32292080549294
203-912,203,912,0.3080076209535296
203-913,203,913,0.3414458615239214
203-914,203,914,0.32906477759839203
203-915,203,915,0.34410467547049023
203-916,203,916,0.34154116727842165
203-917,203,917,0.3456046580839313
203-918,203,918,0.337460348153912
203-919,203,919,0.36852682193267966
203-920,203,920,0.3798920331568316
203-921,203,921,0.34280239086714986
203-922,203,922,0.3593579751417829
203-923,203,923,0.40066002347838087
203-924,203,924,0.36429221397704464
203-925,203,925,0.41584937810185446
203-926,203,926,0.37141848516581155
203-927,203,927,0.32008011139677667
203-928,203,928,0.32611036640879093
203-930,203,930,0.30802393345249807
204-901,204,901,0.3136097938931408
204-902,204,902,0.27637556844180244
204-903,204,903,0.3686705275157714
204-905,204,905,0.29598364441028646
204-906,204,906,0.20600093290288546
204-908,204,908,0.2298620281659421
204-909,204,909,0.21724267985416212
204-910,204,910,0.2804848352817768
204-911,204,911,0.32292080549294
204-912,204,912,0.3080076209535296
204-913,204,913,0.3414458615239214
204-914,204,914,0.32906477759839203
204-915,204,915,0.34410467547049023
204-916,204,916,0.34154116727842165
204-917,204,917,0.3456046580839313
204-918,204,918,0.337460348153912
204-919,204,919,0.36852682193267966
204-920,204,920,0.3798920331568316
204-921,204,921,0.34280239086714986
204-922,204,922,0.3593579751417829
204-923,204,923,0.40066002347838087
204-924,204,924,0.36429221397704464
204-926,204,926,0.37141848516581155
204-927,204,927,0.32008011139677667
204-928,204,928,0.32611036640879093
204-929,204,929,0.30947518016875153
204-930,204,930,0.30802393345249807
205-901,205,901,0.3136097938931408
205-902,205,902,0.27637556844180244
205-903,205,903,0.3686705275157714
205-904,205,904,0.2635580274814595
205-905,205,905,0.29598364441028646
205-906,205,906,0.20600093290288546
205-907,205,907,0.20732943735955528
