Well,X,Y,NTG
201-901,201,901,0.3167575300673405
201-902,201,902,0.2750530015870577
201-903,201,903,0.3611085843227251
201-904,201,904,0.26118314771524664
201-905,201,905,0.28819606893044136
201-906,201,906,0.2173510266186155
201-908,201,908,0.22941016408678702
201-909,201,909,0.22858642520763736
201-910,201,910,0.2831742647655213
201-911,201,911,0.3255072324339451
201-912,201,912,0.311397418305947
201-913,201,913,0.3496312787512407
201-915,201,915,0.3426693495418504
201-916,201,916,0.3414934111400861
201-917,201,917,0.3462951642778636
201-918,201,918,0.40465388671622105
201-919,201,919,0.37355123927683687
201-920,201,920,0.3993184463496066
201-921,201,921,0.35525432093585113
201-922,201,922,0.37557418077874116
201-923,201,923,0.39407980481598676
201-925,201,925,0.41651266720012253
201-926,201,926,0.37453888007504
201-927,201,927,0.3991736861750866
201-928,201,928,0.3975735017531592
201-929,201,929,0.31834794554125706
201-930,201,930,0.303932693065369
202-901,202,901,0.3166209189955755
202-902,202,902,0.2749163905152927
202-903,202,903,0.3609719732509601
202-904,202,904,0.26104653664348154
202-905,202,905,0.28805945785867637
202-906,202,906,0.21721441554685048
202-907,202,907,0.18821019508031198
202-908,202,908,0.229273553015022
202-909,202,909,0.22844981413587231
202-910,202,910,0.2830376536937563
202-911,202,911,0.3253706213621801
202-912,202,912,0.31126080723418204
202-913,202,913,0.34949466767947573
202-914,202,914,0.3258361736493504
202-915,202,915,0.3425327384700854
202-916,202,916,0.34135680006832103
202-917,202,917,0.3461585532060986
202-918,202,918,0.404517275644456
202-919,202,919,0.3734146282050719
202-920,202,920,0.39918183527784157
202-921,202,921,0.3551177098640861
202-923,202,923,0.3939431937442217
202-924,202,924,0.37514118953964193
202-926,202,926,0.37440226900327495
202-927,202,927,0.3990370751033216
202-928,202,928,0.3273217415718
202-929,202,929,0.31821133446949207
202-930,202,930,0.303796081993604
203-901,203,901,0.31648430792381044
203-903,203,903,0.36083536217919504
203-904,203,904,0.26090992557171655
203-905,203,905,0.2879228467869114
203-907,203,907,0.18807358400854696
203-908,203,908,0.22913694194325696
203-909,203,909,0.2283132030641073
203-910,203,910,0.2829010426219912
203-911,203,911,0.32523401029041504
203-912,203,912,0.31112419616241704
203-913,203,913,0.3493580566077107
203-914,203,914,0.3256995625775854
203-915,203,915,0.34239612739832037
203-916,203,916,0.341220188996556
203-917,203,917,0.34602194213433357
203-918,203,918,0.34071309149814244
203-919,203,919,0.3732780171333068
203-920,203,920,0.3990452242060765
203-921,203,921,0.35498109879232104
203-922,203,922,0.37530095863521107
203-923,203,923,0.3938065826724567
203-924,203,924,0.3750045784678769
203-925,203,925,0.41623944505659244
203-926,203,926,0.37426565793150995
203-927,203,927,0.3287853149219624
203-928,203,928,0.327185130500035
203-930,203,930,0.3036594709218389
204-901,204,901,0.3163476968520454
204-902,204,902,0.2746431683717626
204-903,204,903,0.36069875110743
204-905,204,905,0.2877862357151463
204-906,204,906,0.2169411934033204
204-908,204,908,0.22900033087149194
204-909,204,909,0.22817659199234228
204-910,204,910,0.28276443155022624
204-911,204,911,0.32509739921865
204-912,204,912,0.31098758509065194
204-913,204,913,0.34922144553594564
204-914,204,914,0.3255629515058204
204-915,204,915,0.3422595163265553
204-916,204,916,0.341083577924791
